Owner Name,Location,Item Code,Item Name,Stock,Unit,Receiving Date,Lot Number,Damage Flag
POST Sterirized,A1-1-1,POST-017,POST Sterirized 042,1,Pallet,04/11/2026,1234567,Good
POST Sterirized,A1-1-2,POST-009,POST Sterirized 036,2,Pallet,04/01/2027,1234568,Good
POST Sterirized,A1-1-3,POST-006,POST Sterirized 034,3,Pallet,08/02/2027,1234569,Good
POST Sterirized,A1-1-4,POST-035,POST Sterirized 035,4,Pallet,02/12/2026,1234570,Good
POST Sterirized,A1-1-5,POST-024,POST Sterirized 003,5,Pallet,12/03/2027,1234571,Good
POST Sterirized,A1-1-6,POST-049,POST Sterirized 042,6,Pallet,10/04/2027,1234572,Good
POST Sterirized,A1-1-7,POST-033,POST Sterirized 040,7,Pallet,07/01/2027,1234573,Good
POST Sterirized,A1-1-8,POST-016,POST Sterirized 010,8,Pallet,13/02/2027,1234574,Good
POST Sterirized,A1-1-9,POST-011,POST Sterirized 044,9,Pallet,23/12/2026,1234575,Good
POST Sterirized,A1-1-10,POST-043,POST Sterirized 011,10,Pallet,07/04/2027,1234576,Good
POST Sterirized,A1-1-11,POST-049,POST Sterirized 021,11,Pallet,17/11/2026,1234577,Good
POST Sterirized,A1-1-12,POST-010,POST Sterirized 042,12,Pallet,21/04/2027,1234578,Good
POST Sterirized,A1-1-13,POST-041,POST Sterirized 037,13,Pallet,25/11/2026,1234579,Good
POST Sterirized,A1-1-14,POST-017,POST Sterirized 004,14,Pallet,14/01/2027,1234580,Good
POST Sterirized,A1-1-15,POST-046,POST Sterirized 045,15,Pallet,23/03/2027,1234581,Good
POST Sterirized,A1-1-16,POST-010,POST Sterirized 009,16,Pallet,29/10/2026,1234582,Good
POST Sterirized,A1-1-17,POST-029,POST Sterirized 029,17,Pallet,26/03/2027,1234583,Good
POST Sterirized,A1-1-18,POST-005,POST Sterirized 031,18,Pallet,18/02/2027,1234584,Good
POST Sterirized,A1-1-19,POST-007,POST Sterirized 046,19,Pallet,04/02/2027,1234585,Good
POST Sterirized,A1-1-20,POST-001,POST Sterirized 016,20,Pallet,24/12/2026,1234586,Good
POST Sterirized,A1-1-21,POST-029,POST Sterirized 006,21,Pallet,14/11/2026,1234587,Good
POST Sterirized,A1-1-22,POST-049,POST Sterirized 027,22,Pallet,21/02/2027,1234588,Good
POST Sterirized,A1-1-23,POST-028,POST Sterirized 029,23,Pallet,15/12/2026,1234589,Good
POST Sterirized,A1-1-24,POST-042,POST Sterirized 030,24,Pallet,26/02/2027,1234590,Good
POST Sterirized,A1-1-25,POST-037,POST Sterirized 043,25,Pallet,21/04/2027,1234591,Good
POST Sterirized,A1-1-26,POST-014,POST Sterirized 029,26,Pallet,28/01/2027,1234592,Good
POST Sterirized,A1-1-27,POST-037,POST Sterirized 021,27,Pallet,26/12/2026,1234593,Good
POST Sterirized,A1-1-28,POST-021,POST Sterirized 011,28,Pallet,10/01/2027,1234594,Good
POST Sterirized,A1-2-1,POST-016,POST Sterirized 019,29,Pallet,27/03/2027,1234595,Good
POST Sterirized,A1-2-2,POST-018,POST Sterirized 008,30,Pallet,10/04/2027,1234596,Good
POST Sterirized,A1-2-3,POST-006,POST Sterirized 014,31,Pallet,04/04/2027,1234597,Good
POST Sterirized,A1-2-4,POST-033,POST Sterirized 034,32,Pallet,15/02/2027,1234598,Good
POST Sterirized,A1-2-5,POST-026,POST Sterirized 020,33,Pallet,29/03/2027,1234599,Good
POST Sterirized,A1-2-6,POST-032,POST Sterirized 023,34,Pallet,10/04/2027,1234600,Good
POST Sterirized,A1-2-7,POST-046,POST Sterirized 040,35,Pallet,24/01/2027,1234601,Good
POST Sterirized,A1-2-8,POST-044,POST Sterirized 017,36,Pallet,19/11/2026,1234602,Good
POST Sterirized,A1-2-9,POST-028,POST Sterirized 031,37,Pallet,03/03/2027,1234603,Good
POST Sterirized,A1-2-10,POST-048,POST Sterirized 031,38,Pallet,17/12/2026,1234604,Good
POST Sterirized,A1-2-11,POST-032,POST Sterirized 014,39,Pallet,23/01/2027,1234605,Good
POST Sterirized,A1-2-12,POST-025,POST Sterirized 015,40,Pallet,08/01/2027,1234606,Good
POST Sterirized,A1-2-13,POST-040,POST Sterirized 044,41,Pallet,08/02/2027,1234607,Good
POST Sterirized,A1-2-14,POST-019,POST Sterirized 021,42,Pallet,30/11/2026,1234608,Good
POST Sterirized,A1-2-15,POST-049,POST Sterirized 030,43,Pallet,30/01/2027,1234609,Good
